worker1-1  | 2024/06/04 17:52:46.721 FIG10b: Memory usage without flush after 8078 tasks: 1133.15234375 MB
worker1-1  | 2024/06/04 17:52:47.669 [worker] 2024/06/04 17:52:47.679 FIG10b: Memory usage without flush after 8093 tasks: 1133.328125 MB
worker1-1  | 2024/06/04 17:52:48.682 2024/06/04 17:52:48.683 FIG10b: Memory usage without flush after 8175 tasks: 1132.875 MB
worker1-1  | 2024/06/04 17:52:49.699 FIG10b: Memory usage without flush after 8270 tasks: 1132.80859375 MB
worker1-1  | 2024/06/04 17:52:50.761 FIG10b: Memory usage without flush after 8363 tasks: 1133.30078125 MB
worker1-1  |  2024/06/04 17:52:51.767 FIG10b: Memory usage without flush after 8466 tasks: 1134.76171875 MB
worker1-1  | 2024/06/04 17:52:52.775 FIG10b: Memory usage without flush after 8586 tasks: 1135.74609375 MB
worker1-1  | 2024/06/04 17:52:53.783 FIG10b: Memory usage without flush after 8691 tasks: 1135.81640625 MB
worker1-1  | 2024/06/04 17:52:54.784 FIG10b: Memory usage without flush after 8799 tasks: 1135.265625 MB
worker1-1  |  2024/06/04 17:52:55.788 FIG10b: Memory usage without flush after 8908 tasks: 1135.0546875 MB
worker1-1  | [worker]2024/06/04 17:52:56.792 FIG10b: Memory usage without flush after 9029 tasks: 1136.5078125 MB
worker1-1  |  stored... 2024/06/04 17:52:57.795 FIG10b: Memory usage without flush after 9152 tasks: 1136.1328125 MB
worker1-1  |  FIG10b: Memory usage without flush after 9275 tasks: 1135.734375 MB
worker1-1  | 2024/06/04 17:52:59.800 FIG10b: Memory usage without flush after 9401 tasks: 1136.77734375 MB
worker1-1  | 2024/06/04 17:53:00.803 FIG10b: Memory usage without flush after 9508 tasks: 1137.28125 MB
worker1-1  | 2024/06/04 17:53:01.806 FIG10b: Memory usage without flush after 9622 tasks: 1138.0078125 MB
worker1-1  | 2024/06/04 17:53:02.808 FIG10b: Memory usage without flush after 9749 tasks: 1137.2109375 MB
worker1-1  | 2024/06/04 17:53:03.820 FIG10b: Memory usage without flush after 9878 tasks: 1137.984375 MB
worker1-1  | 2024/06/04 17:53:04.8202024/06/04 17:53:04.821 FIG10b: Memory usage without flush after 10001 tasks: 1138.98046875 MB
worker1-1  | 2024/06/04 17:53:05.8242024/06/04 17:53:05.824 FIG10b: Memory usage without flush after 10122 tasks: 1139.765625 MB
worker1-1  | 2024/06/04 17:53:06.827 FIG10b: Memory usage without flush after 10240 tasks: 1138.9453125 MB
worker1-1  | [worker]2024/06/04 17:53:07.828 FIG10b: Memory usage without flush after 10357 tasks: 1139.26171875 MB
worker1-1  | 2024/06/04 17:53:08.832 FIG10b: Memory usage without flush after 10481 tasks: 1139.578125 MB
worker1-1  | 2024/06/04 17:53:09.841 FIG10b: Memory usage without flush after 10602 tasks: 1139.87109375 MB
worker1-1  | [worker]2024/06/04 17:53:10.843 FIG10b: Memory usage without flush after 10719 tasks: 1140.90234375 MB
worker1-1  | 2024/06/04 17:53:11.849 FIG10b: Memory usage without flush after 10834 tasks: 1141.93359375 MB
worker1-1  | 2024/06/04 17:53:12.859 FIG10b: Memory usage without flush after 10930 tasks: 1141.7578125 MB
worker1-1  | 2024/06/04 17:53:13.862 [worker] 2024/06/04 17:53:13.862 FIG10b: Memory usage without flush after 11014 tasks: 1142.51953125 MB
worker1-1  |  [worker] 2024/06/04 17:53:14.866 FIG10b: Memory usage without flush after 11122 tasks: 1142.07421875 MB
worker1-1  | in Run() rn2024/06/04 17:53:15.866 FIG10b: Memory usage without flush after 11255 tasks: 1140.20703125 MB
worker1-1  | 2024/06/04 17:53:16.870 FIG10b: Memory usage without flush after 11366 tasks: 1140.734375 MB
worker1-1  | 2024/06/04 17:53:17.872 FIG10b: Memory usage without flush after 11473 tasks: 1140.51171875 MB
worker1-1  | 2024/06/04 17:53:18.877 FIG10b: Memory usage without flush after 11591 tasks: 1142.72265625 MB
worker1-1  | 2024/06/04 17:53:19.879 [worker]2024/06/04 17:53:19.880 FIG10b: Memory usage without flush after 11693 tasks: 1140.58984375 MB
worker1-1  | 2024/06/04 17:53:20.936 FIG10b: Memory usage without flush after 11792 tasks: 1141.75 MB
worker1-1  |  2024/06/04 17:53:21.938 2024/06/04 17:53:21.938 FIG10b: Memory usage without flush after 11912 tasks: 1142.65625 MB
worker1-1  | 2024/06/04 17:53:22.941 FIG10b: Memory usage without flush after 12036 tasks: 1143.30078125 MB
worker1-1  | 2024/06/04 17:53:23.958 FIG10b: Memory usage without flush after 12161 tasks: 1143.16796875 MB
worker1-1  | 2024/06/04 17:53:24.9622024/06/04 17:53:24.9632024/06/04 17:53:24.963 FIG10b: Memory usage without flush after 12281 tasks: 1143.296875 MB
worker1-1  | 2024/06/04 17:53:25.966 FIG10b: Memory usage without flush after 12399 tasks: 1143.90234375 MB
worker1-1  | 2024/06/04 17:53:26.968 FIG10b: Memory usage without flush after 12510 tasks: 1143.60546875 MB
worker1-1  | 2024/06/04 17:53:27.969in Run() rn FIG10b: Memory usage without flush after 12632 tasks: 1143.95703125 MB
worker1-1  |  [worker]2024/06/04 17:53:28.972 FIG10b: Memory usage without flush after 12746 tasks: 1144.84375 MB
worker1-1  | [worker] 2024/06/04 17:53:29.977 FIG10b: Memory usage without flush after 12876 tasks: 1144.6796875 MB
worker1-1  | [worker][worker]2024/06/04 17:53:30.984 FIG10b: Memory usage without flush after 12996 tasks: 1146.03515625 MB
worker1-1  | 2024/06/04 17:53:31.9842024/06/04 17:53:31.984 [worker]  FIG10b: Memory usage without flush after 13126 tasks: 1145.625 MBin Run() rn
worker1-1  | 2024/06/04 17:53:32.986 FIG10b: Memory usage without flush after 13234 tasks: 1146.79296875 MB
worker1-1  | 2024/06/04 17:53:33.988 FIG10b: Memory usage without flush after 13349 tasks: 1154.3125 MB
worker1-1  |  FIG10b: Memory usage without flush after 13456 tasks: 1154.5703125 MB
worker1-1  | 2024/06/04 17:53:36.004 FIG10b: Memory usage without flush after 13576 tasks: 1156.3984375 MB
worker1-1  |  FIG10b: Memory usage without flush after 13698 tasks: 1156.79296875 MB
worker1-1  | 2024/06/04 17:53:38.010 FIG10b: Memory usage without flush after 13827 tasks: 1151.52734375 MB
worker1-1  | 2024/06/04 17:53:39.015 FIG10b: Memory usage without flush after 13957 tasks: 1151.87109375 MB
worker1-1  | 2024/06/04 17:53:40.017 FIG10b: Memory usage without flush after 14074 tasks: 1149.55078125 MB
worker1-1  | 2024/06/04 17:53:41.020 FIG10b: Memory usage without flush after 14199 tasks: 1150.41796875 MB
worker1-1  | 2024/06/04 17:53:42.032 FIG10b: Memory usage without flush after 14326 tasks: 1150.734375 MB
worker1-1  | 2024/06/04 17:53:43.034 FIG10b: Memory usage without flush after 14451 tasks: 1150.578125 MB
worker1-1  | 2024/06/04 17:53:44.035 2024/06/04 17:53:44.035 FIG10b: Memory usage without flush after 14573 tasks: 1150.9375 MB
worker1-1  | 2024/06/04 17:53:45.035 2024/06/04 17:53:45.036 FIG10b: Memory usage without flush after 14696 tasks: 1151.0703125 MB
worker1-1  | 2024/06/04 17:53:46.041 FIG10b: Memory usage without flush after 14809 tasks: 1151.46484375 MB
worker1-1  | in Run() rn2024/06/04 17:53:47.042 FIG10b: Memory usage without flush after 14931 tasks: 1151.5703125 MB
worker1-1  | 2024/06/04 17:53:48.045 FIG10b: Memory usage without flush after 15053 tasks: 1151.9296875 MB
worker1-1  | 2024/06/04 17:53:49.046 FIG10b: Memory usage without flush after 15175 tasks: 1152.3125 MB
worker1-1  | 2024/06/04 17:53:50.047 FIG10b: Memory usage without flush after 15301 tasks: 1144.1484375 MB
worker1-1  | 2024/06/04 17:53:51.051 FIG10b: Memory usage without flush after 15421 tasks: 1145.4765625 MB
worker1-1  | 2024/06/04 17:53:52.055  FIG10b: Memory usage without flush after 15550 tasks: 1146.1015625 MB
