worker1-1  | 2024/06/04 03:35:35.2952024/06/04 03:35:35.2952024/06/04 03:35:35.296 FIG10b: Memory usage without flush after 11148 tasks: 1070.359375 MB
worker1-1  | 2024/06/04 03:35:36.298 FIG10b: Memory usage without flush after 11279 tasks: 1070.12109375 MB
worker1-1  | 2024/06/04 03:35:37.3002024/06/04 03:35:37.300 FIG10b: Memory usage without flush after 11408 tasks: 1070.00390625 MB
worker1-1  | 2024/06/04 03:35:38.301 FIG10b: Memory usage without flush after 11548 tasks: 1070.30078125 MB
worker1-1  | 2024/06/04 03:35:39.304 FIG10b: Memory usage without flush after 11683 tasks: 1070.375 MB
worker1-1  |  [worker] Executed!2024/06/04 03:35:40.309 FIG10b: Memory usage without flush after 11822 tasks: 1070.44140625 MB
worker1-1  | 2024/06/04 03:35:41.312  2024/06/04 03:35:41.313 FIG10b: Memory usage without flush after 11953 tasks: 1075.01171875 MB
worker1-1  | 2024/06/04 03:35:42.316 FIG10b: Memory usage without flush after 12080 tasks: 1075.08984375 MB
worker1-1  | 2024/06/04 03:35:43.3172024/06/04 03:35:43.317 FIG10b: Memory usage without flush after 12211 tasks: 1075.15234375 MB
worker1-1  | 2024/06/04 03:35:44.319 FIG10b: Memory usage without flush after 12351 tasks: 1076.2265625 MB
worker1-1  | 2024/06/04 03:35:45.319 FIG10b: Memory usage without flush after 12490 tasks: 1076.9453125 MB
worker1-1  | 2024/06/04 03:35:46.327 FIG10b: Memory usage without flush after 12612 tasks: 1077.54296875 MB
worker1-1  | gonna store now2024/06/04 03:35:47.345 FIG10b: Memory usage without flush after 12717 tasks: 1078.91796875 MB
worker1-1  | Executed!2024/06/04 03:35:48.3502024/06/04 03:35:48.350 FIG10b: Memory usage without flush after 12829 tasks: 1078.58203125 MB
worker1-1  | 2024/06/04 03:35:49.367 FIG10b: Memory usage without flush after 12960 tasks: 1095.51171875 MB
worker1-1  | 2024/06/04 03:35:50.371 FIG10b: Memory usage without flush after 13074 tasks: 1096.14453125 MB
worker1-1  | 2024/06/04 03:35:51.373 2024/06/04 03:35:51.374 FIG10b: Memory usage without flush after 13198 tasks: 1095.47265625 MB[worker]
worker1-1  | [worker]2024/06/04 03:35:52.375  FIG10b: Memory usage without flush after 13318 tasks: 1091.81640625 MB
worker1-1  | 2024/06/04 03:35:53.378 FIG10b: Memory usage without flush after 13452 tasks: 1091.921875 MB
worker1-1  | 2024/06/04 03:35:54.382 FIG10b: Memory usage without flush after 13579 tasks: 1093.2421875 MB
worker1-1  | 2024/06/04 03:35:55.387 FIG10b: Memory usage without flush after 13703 tasks: 1094.23828125 MB
worker1-1  | 2024/06/04 03:35:56.389 FIG10b: Memory usage without flush after 13831 tasks: 1094.46484375 MB
worker1-1  | 2024/06/04 03:35:57.396 FIG10b: Memory usage without flush after 13941 tasks: 1095.83984375 MB
worker1-1  | 2024/06/04 03:35:58.398 FIG10b: Memory usage without flush after 14054 tasks: 1096.02734375 MB
worker1-1  | 2024/06/04 03:35:59.406 FIG10b: Memory usage without flush after 14161 tasks: 1095.27734375 MB
worker1-1  |  FIG10b: Memory usage without flush after 14266 tasks: 1095.265625 MB
worker1-1  | 2024/06/04 03:36:01.410 FIG10b: Memory usage without flush after 14382 tasks: 1095.453125 MB
worker1-1  | 2024/06/04 03:36:02.417 FIG10b: Memory usage without flush after 14487 tasks: 1096.1484375 MB
worker1-1  | 2024/06/04 03:36:03.4222024/06/04 03:36:03.423 FIG10b: Memory usage without flush after 14604 tasks: 1096.5625 MB
worker1-1  | 2024/06/04 03:36:04.434 FIG10b: Memory usage without flush after 14700 tasks: 1096.8203125 MB[worker] took this many seconds: 0.0298
worker1-1  | 2024/06/04 03:36:05.444 FIG10b: Memory usage without flush after 14785 tasks: 1097.08203125 MB
worker1-1  | 2024/06/04 03:36:06.502 FIG10b: Memory usage without flush after 14899 tasks: 1097.53125 MB
worker1-1  | 2024/06/04 03:36:07.511 FIG10b: Memory usage without flush after 15011 tasks: 1097.96875 MB
worker1-1  |  2024/06/04 03:36:08.515 FIG10b: Memory usage without flush after 15101 tasks: 1097.9609375 MB
worker1-1  | 2024/06/04 03:36:09.5262024/06/04 03:36:09.526 FIG10b: Memory usage without flush after 15202 tasks: 1098.64453125 MB
worker1-1  | 2024/06/04 03:36:10.529 FIG10b: Memory usage without flush after 15305 tasks: 1098.609375 MB
worker1-1  | 2024/06/04 03:36:11.532 FIG10b: Memory usage without flush after 15392 tasks: 1098.86328125 MB
worker1-1  | 2024/06/04 03:36:12.546 FIG10b: Memory usage without flush after 15464 tasks: 1098.69140625 MB
worker1-1  | 2024/06/04 03:36:13.551 FIG10b: Memory usage without flush after 15554 tasks: 1099.46875 MB
worker1-1  | 2024/06/04 03:36:14.557 FIG10b: Memory usage without flush after 15644 tasks: 1099.46484375 MB
worker1-1  | 2024/06/04 03:36:15.5642024/06/04 03:36:15.565 FIG10b: Memory usage without flush after 15748 tasks: 1099.40234375 MB
worker1-1  |  [worker] stored...2024/06/04 03:36:16.571 FIG10b: Memory usage without flush after 15848 tasks: 1097.1796875 MB
worker1-1  |  [worker] stored...2024/06/04 03:36:17.5822024/06/04 03:36:17.582 FIG10b: Memory usage without flush after 15939 tasks: 1098.3671875 MB
worker1-1  | 2024/06/04 03:36:18.5842024/06/04 03:36:18.584 FIG10b: Memory usage without flush after 16026 tasks: 1097.3671875 MB
worker1-1  | 2024/06/04 03:36:19.5962024/06/04 03:36:19.596 2024/06/04 03:36:19.597 FIG10b: Memory usage without flush after 16113 tasks: 1097.875 MB
worker1-1  | 2024/06/04 03:36:20.600 FIG10b: Memory usage without flush after 16219 tasks: 1098.4921875 MB
worker1-1  | 2024/06/04 03:36:21.601 2024/06/04 03:36:21.602 FIG10b: Memory usage without flush after 16330 tasks: 1097.99609375 MB
worker1-1  |  2024/06/04 03:36:22.607[worker] FIG10b: Memory usage without flush after 16451 tasks: 1096.95703125 MB 
worker1-1  | 2024/06/04 03:36:23.6132024/06/04 03:36:23.613 FIG10b: Memory usage without flush after 16577 tasks: 1097.08203125 MB
worker1-1  | 2024/06/04 03:36:24.615 FIG10b: Memory usage without flush after 16692 tasks: 1098.44921875 MB
worker1-1  | 2024/06/04 03:36:25.619 FIG10b: Memory usage without flush after 16810 tasks: 1098.3203125 MB
worker1-1  | 2024/06/04 03:36:26.6232024/06/04 03:36:26.623 FIG10b: Memory usage without flush after 16929 tasks: 1098.296875 MB 
worker1-1  | [worker] [worker] took this many seconds: 0.00839 2024/06/04 03:36:27.629 FIG10b: Memory usage without flush after 17054 tasks: 1098.3046875 MB
worker1-1  | 2024/06/04 03:36:28.639 2024/06/04 03:36:28.639FIG10b: Memory usage without flush after 17176 tasks: 1098.6953125 MB
worker1-1  | 2024/06/04 03:36:29.644 FIG10b: Memory usage without flush after 17299 tasks: 1098.828125 MB
worker1-1  |  2024/06/04 03:36:30.649 FIG10b: Memory usage without flush after 17423 tasks: 1099.31640625 MB
worker1-1  | 2024/06/04 03:36:31.657 FIG10b: Memory usage without flush after 17544 tasks: 1099.48046875 MB
worker1-1  | in Run() rn2024/06/04 03:36:32.659 FIG10b: Memory usage without flush after 17673 tasks: 1099.81640625 MB
worker1-1  | 2024/06/04 03:36:33.6642024/06/04 03:36:33.665 FIG10b: Memory usage without flush after 17787 tasks: 1099.8125 MB
worker1-1  | 2024/06/04 03:36:34.665 FIG10b: Memory usage without flush after 17902 tasks: 1099.734375 MB
worker1-1  | 2024/06/04 03:36:35.6672024/06/04 03:36:35.667 FIG10b: Memory usage without flush after 18025 tasks: 1100.22265625 MB
worker1-1  | [worker] 2024/06/04 03:36:36.673 FIG10b: Memory usage without flush after 18159 tasks: 1100.91015625 MB
worker1-1  |  FIG10b: Memory usage without flush after 18273 tasks: 1101.87109375 MB
worker1-1  | 2024/06/04 03:36:38.681 FIG10b: Memory usage without flush after 18390 tasks: 1101.14453125 MB
worker1-1  | 2024/06/04 03:36:39.684 FIG10b: Memory usage without flush after 18504 tasks: 1101.84765625 MB
worker1-1  | 2024/06/04 03:36:40.6882024/06/04 03:36:40.688  FIG10b: Memory usage without flush after 18616 tasks: 1102.7890625 MB
worker1-1  | 2024/06/04 03:36:41.696 FIG10b: Memory usage without flush after 18741 tasks: 1102.9375 MB
worker1-1  |  FIG10b: Memory usage without flush after 18871 tasks: 1103.6171875 MB
worker1-1  | 2024/06/04 03:36:43.712 FIG10b: Memory usage without flush after 18998 tasks: 1104.55859375 MB
worker1-1  |  [worker] in Run() rn2024/06/04 03:36:44.712 FIG10b: Memory usage without flush after 19127 tasks: 1105.1796875 MB
worker1-1  | 2024/06/04 03:36:45.713 FIG10b: Memory usage without flush after 19259 tasks: 1105.37890625 MB
worker1-1  | 2024/06/04 03:36:46.721 FIG10b: Memory usage without flush after 19372 tasks: 1105.16015625 MB
worker1-1  | 2024/06/04 03:36:47.735 FIG10b: Memory usage without flush after 19424 tasks: 1105.28125 MB
worker1-1  | 2024/06/04 03:36:48.7402024/06/04 03:36:48.740 FIG10b: Memory usage without flush after 19522 tasks: 1105.9453125 MB
worker1-1  | 2024/06/04 03:36:49.753 FIG10b: Memory usage without flush after 19635 tasks: 1115.32421875 MB
worker1-1  | 2024/06/04 03:36:50.765 FIG10b: Memory usage without flush after 19716 tasks: 1116.33984375 MB
worker1-1  |  stored...2024/06/04 03:36:51.773 FIG10b: Memory usage without flush after 19820 tasks: 1116.3515625 MB
worker1-1  | 2024/06/04 03:36:52.782 FIG10b: Memory usage without flush after 19906 tasks: 1116.1484375 MB
worker1-1  |  in Run() rn2024/06/04 03:36:53.788 FIG10b: Memory usage without flush after 20029 tasks: 1117.4765625 MB
worker1-1  | 2024/06/04 03:36:54.8012024/06/04 03:36:54.802 FIG10b: Memory usage without flush after 20145 tasks: 1117.5625 MB
