worker1-1  |  FIG10b: Memory usage without flush after 9083 tasks: 1028.1796875 MB
worker1-1  | 2024/06/04 01:45:29.121 [worker]  2024/06/04 01:45:29.122stored... FIG10b: Memory usage without flush after 9208 tasks: 1028.1796875 MB
worker1-1  | 2024/06/04 01:45:30.134 FIG10b: Memory usage without flush after 9344 tasks: 1028.61328125 MB
worker1-1  |  2024/06/04 01:45:31.138 FIG10b: Memory usage without flush after 9481 tasks: 1029.0859375 MB
worker1-1  | 2024/06/04 01:45:32.145 FIG10b: Memory usage without flush after 9616 tasks: 1029.4609375 MB
worker1-1  | 2024/06/04 01:45:33.153 FIG10b: Memory usage without flush after 9751 tasks: 1029.68359375 MB
worker1-1  | 2024/06/04 01:45:34.154 FIG10b: Memory usage without flush after 9886 tasks: 1030.1015625 MB
worker1-1  | 2024/06/04 01:45:35.163 FIG10b: Memory usage without flush after 10020 tasks: 1030.99609375 MB
worker1-1  | 2024/06/04 01:45:36.171 FIG10b: Memory usage without flush after 10153 tasks: 1029.703125 MB
worker1-1  | 2024/06/04 01:45:37.176 FIG10b: Memory usage without flush after 10285 tasks: 1029.75 MB
worker1-1  |  [worker]2024/06/04 01:45:38.178 FIG10b: Memory usage without flush after 10407 tasks: 1029.6171875 MB
worker1-1  | 2024/06/04 01:45:39.180 FIG10b: Memory usage without flush after 10540 tasks: 1029.24609375 MB
worker1-1  |  stored...2024/06/04 01:45:40.186 FIG10b: Memory usage without flush after 10661 tasks: 1030.0703125 MB
worker1-1  |  stored...2024/06/04 01:45:41.188 FIG10b: Memory usage without flush after 10788 tasks: 1030.15234375 MB
worker1-1  | 2024/06/04 01:45:42.189 FIG10b: Memory usage without flush after 10902 tasks: 1030.2890625 MB
worker1-1  | 2024/06/04 01:45:43.1932024/06/04 01:45:43.194 FIG10b: Memory usage without flush after 11036 tasks: 1030.60546875 MB
worker1-1  | [worker]2024/06/04 01:45:44.197 FIG10b: Memory usage without flush after 11156 tasks: 1030.7578125 MB
worker1-1  | 2024/06/04 01:45:45.206 FIG10b: Memory usage without flush after 11278 tasks: 1031.359375 MB
worker1-1  | 2024/06/04 01:45:46.207 FIG10b: Memory usage without flush after 11407 tasks: 1031.94921875 MB
worker1-1  | 2024/06/04 01:45:47.208 FIG10b: Memory usage without flush after 11544 tasks: 1032.20703125 MB
worker1-1  | 2024/06/04 01:45:48.214 FIG10b: Memory usage without flush after 11685 tasks: 1033.19921875 MB
worker1-1  | 2024/06/04 01:45:49.216 2024/06/04 01:45:49.217 FIG10b: Memory usage without flush after 11813 tasks: 1032.8203125 MB
worker1-1  | 2024/06/04 01:45:50.2172024/06/04 01:45:50.217 FIG10b: Memory usage without flush after 11941 tasks: 1032.90625 MB
worker1-1  | 2024/06/04 01:45:51.221 FIG10b: Memory usage without flush after 12077 tasks: 1032.45703125 MB
worker1-1  | 2024/06/04 01:45:52.223 2024/06/04 01:45:52.2232024/06/04 01:45:52.223 FIG10b: Memory usage without flush after 12208 tasks: 1033.28515625 MB
worker1-1  | 2024/06/04 01:45:53.224 FIG10b: Memory usage without flush after 12331 tasks: 1033.6171875 MB
worker1-1  | 2024/06/04 01:45:54.225 FIG10b: Memory usage without flush after 12460 tasks: 1033.1796875 MB
worker1-1  |  FIG10b: Memory usage without flush after 12594 tasks: 1033.953125 MB2024/06/04 01:45:55.226 [lobs] /DEV FILE CREATED!
worker1-1  | [worker][worker]2024/06/04 01:45:56.232 FIG10b: Memory usage without flush after 12726 tasks: 1034.734375 MB
worker1-1  | 2024/06/04 01:45:57.233 FIG10b: Memory usage without flush after 12854 tasks: 1034.3515625 MB
worker1-1  | 2024/06/04 01:45:58.2432024/06/04 01:45:58.243 FIG10b: Memory usage without flush after 12980 tasks: 1035.453125 MB
worker1-1  |  2024/06/04 01:45:59.245 FIG10b: Memory usage without flush after 13093 tasks: 1035.3203125 MB
worker1-1  | 2024/06/04 01:46:00.247 FIG10b: Memory usage without flush after 13213 tasks: 1035.94140625 MB
worker1-1  | 2024/06/04 01:46:01.255 FIG10b: Memory usage without flush after 13335 tasks: 1037.515625 MB
worker1-1  | 2024/06/04 01:46:02.2552024/06/04 01:46:02.255 FIG10b: Memory usage without flush after 13462 tasks: 1036.3359375 MB
worker1-1  | 2024/06/04 01:46:03.259 2024/06/04 01:46:03.260 FIG10b: Memory usage without flush after 13595 tasks: 1037.36328125 MB
worker1-1  | Executed!2024/06/04 01:46:04.266 FIG10b: Memory usage without flush after 13732 tasks: 1037.1640625 MB
worker1-1  | took this many seconds: 0.0147 2024/06/04 01:46:05.273 FIG10b: Memory usage without flush after 13857 tasks: 1037.9765625 MB
