worker1-1  | 2024/06/04 05:03:33.071 FIG10b: Memory usage without flush after 8689 tasks: 1122.0546875 MB
worker1-1  | 2024/06/04 05:03:34.074 FIG10b: Memory usage without flush after 8801 tasks: 1122.00390625 MB
worker1-1  |   2024/06/04 05:03:35.076 FIG10b: Memory usage without flush after 8906 tasks: 1121.9609375 MB
worker1-1  | 2024/06/04 05:03:36.080 FIG10b: Memory usage without flush after 9026 tasks: 1121.7421875 MB
worker1-1  | 2024/06/04 05:03:37.149 FIG10b: Memory usage without flush after 9151 tasks: 1121.2734375 MB
worker1-1  |  2024/06/04 05:03:38.155 FIG10b: Memory usage without flush after 9280 tasks: 1121.265625 MB
worker1-1  | 2024/06/04 05:03:39.157 FIG10b: Memory usage without flush after 9412 tasks: 1122.70703125 MB
worker1-1  | 2024/06/04 05:03:40.157 FIG10b: Memory usage without flush after 9539 tasks: 1123.43359375 MB
worker1-1  | 2024/06/04 05:03:41.160 FIG10b: Memory usage without flush after 9663 tasks: 1123.70703125 MB
worker1-1  | 2024/06/04 05:03:42.163 [worker]2024/06/04 05:03:42.1642024/06/04 05:03:42.164 FIG10b: Memory usage without flush after 9792 tasks: 1124.19140625 MB
worker1-1  | 2024/06/04 05:03:43.1652024/06/04 05:03:43.165 FIG10b: Memory usage without flush after 9907 tasks: 1124.6171875 MB
worker1-1  | 2024/06/04 05:03:44.166 FIG10b: Memory usage without flush after 10010 tasks: 1124.14453125 MB
worker1-1  | 2024/06/04 05:03:45.178 FIG10b: Memory usage without flush after 10107 tasks: 1124.15234375 MB
worker1-1  | 2024/06/04 05:03:46.259 FIG10b: Memory usage without flush after 10209 tasks: 1123.47265625 MB
worker1-1  | 2024/06/04 05:03:47.2602024/06/04 05:03:47.261   FIG10b: Memory usage without flush after 10313 tasks: 1124.1796875 MB
worker1-1  | 2024/06/04 05:03:48.2692024/06/04 05:03:48.269 FIG10b: Memory usage without flush after 10422 tasks: 1124.65234375 MB
worker1-1  | 2024/06/04 05:03:49.2742024/06/04 05:03:49.275 FIG10b: Memory usage without flush after 10532 tasks: 1124.453125 MB
worker1-1  | 2024/06/04 05:03:50.276 FIG10b: Memory usage without flush after 10644 tasks: 1124.7265625 MB
worker1-1  | [worker]2024/06/04 05:03:51.2762024/06/04 05:03:51.277 FIG10b: Memory usage without flush after 10752 tasks: 1124.53125 MB
worker1-1  | Executed!2024/06/04 05:03:52.283 FIG10b: Memory usage without flush after 10852 tasks: 1124.94140625 MB
worker1-1  |  [worker]2024/06/04 05:03:53.285 FIG10b: Memory usage without flush after 10968 tasks: 1125.73046875 MB
worker1-1  | 2024/06/04 05:03:54.2862024/06/04 05:03:54.286 FIG10b: Memory usage without flush after 11067 tasks: 1125.9921875 MB
worker1-1  | 2024/06/04 05:03:55.288 FIG10b: Memory usage without flush after 11169 tasks: 1125.7421875 MB
